from,to,weight,season
FC1,1,50,2021
FC2,33,3,2019
FC3,42,,2021
FC4,5,8,2020
FC5,2,40,2020
FC6,37,1,2021
FC7,24,60,2018
FC8,15,13,2020
FC9,23,18,2017
FC10,3,17,2020
FC11,16,8,2019
FC12,32,15,2021
FC13,6,4,2020
FC14,8,18,2021
FC15,28,,2019
FC16,14,80,2019
FC17,30,25,2018
FC18,11,5,2018
FC19,20,30,2019
FC20,31,17,2019
FC21,25,,2020
FC22,34,,2021
FC23,10,,2018
FC24,7,,2019
FC25,22,25,2021
FC26,9,18,2019
FC27,18,5,2022
FC28,17,,2021
FC28,19,45,2021
FC21,50,,2022
FC3,44,,2021
1,DE,,
33,DE,,
42,DE,,
5,GR,,
2,DE,,
2,UZ,,
37,JP,,
24,HR,,
24,DE,,
15,DE,,
23,BE,,
23,CD,,
3,JP,,
16,DE,,
32,FR,,
32,KM,,
6,GB,,
6,CD,,
8,FR,,
8,MQ,,
28,DK,,
28,GH,,
14,CD,,
30,DE,,
30,IT,,
11,DE,,
20,DE,,
31,DE,,
31,AR,,
25,DE,,
34,TR,,
10,DE,,
10,BJ,,
7,FR,,
7,CI,,
22,DE,,
9,AT,,
9,SRB,,
18,PT,,
17,EG,,
17,CA,,
19,DK,,
19,AF,,
50,FR,,
50,CM,,
44,NL,,
44,SL,,
